Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1/1/2025 8:50,93390,93547.83,93390,93515.16,27.46549,55:00.0,2567891.299,5532,18.44694,1724690.744,0
1/1/2025 8:55,93515.16,93515.17,93428.46,93428.46,21.68891,00:00.0,2027037.646,4098,5.52752,516594.5088,0
1/1/2025 9:00,93428.47,93486.1,93428.46,93486.09,25.05448,05:00.0,2341638.404,2145,17.4039,1626648.15,0
1/1/2025 9:05,93486.09,93486.29,93362.5,93413.88,26.7989,10:00.0,2503456.521,5036,9.60354,897105.4439,0
1/1/2025 9:10,93413.88,93420,93217.93,93327.15,62.62779,15:00.0,5843965.449,8298,32.2089,3005621.252,0
1/1/2025 9:15,93327.15,93327.15,93188,93268.17,40.15928,20:00.0,3745222.282,7230,13.1315,1224766.407,0
1/1/2025 9:20,93268.18,93303.04,93118,93118,67.31693,25:00.0,6274728.894,10178,29.77116,2775446.33,0
1/1/2025 9:25,93118,93141.92,92888,93141.91,209.82914,30:00.0,19517232.55,22012,58.94921,5483673.98,0
1/1/2025 9:30,93141.91,93302.52,93092.86,93215.52,143.30013,35:00.0,13356632.5,9466,125.02684,11653594.29,0
1/1/2025 9:35,93215.53,93215.53,93030.3,93053.07,36.97619,40:00.0,3442242.982,4665,9.76807,909382.4376,0
1/1/2025 9:40,93053.06,93121.77,93001,93106.31,49.85033,45:00.0,4639132.48,6862,15.91981,1481428.304,0
1/1/2025 9:45,93106.3,93242.43,93048.64,93204.01,31.56695,50:00.0,2940082.46,5742,15.28868,1424256.856,0
1/1/2025 9:50,93204,93446.48,93204,93403.26,69.68188,55:00.0,6505291.481,8182,54.02689,5043336.492,0
1/1/2025 9:55,93403.26,93420,93378.75,93413.06,35.33573,00:00.0,3300196.92,3663,23.45261,2190304.9,0
1/1/2025 10:00,93413.07,93534.95,93357.67,93492.57,42.13657,05:00.0,3937286.659,8135,17.50126,1635583.105,0
1/1/2025 10:05,93492.57,93529.19,93437.48,93437.49,20.14522,10:00.0,1883312.013,4288,6.61218,618192.8071,0
1/1/2025 10:10,93437.5,93441.57,93368,93384.27,21.6802,15:00.0,2025105.914,3315,4.11516,384365.0174,0
1/1/2025 10:15,93384.26,93519.64,93384.26,93519.64,21.26558,20:00.0,1987287.434,3801,14.86195,1388947.749,0
1/1/2025 10:20,93519.63,93536.75,93492,93500.17,16.36964,25:00.0,1530835.216,3340,8.33861,779753.0368,0
1/1/2025 10:25,93500.17,93525.35,93410.24,93410.25,17.27859,30:00.0,1614955.28,2882,5.93008,554330.803,0
1/1/2025 10:30,93410.25,93509.74,93400.01,93400.02,25.67109,35:00.0,2398993.469,5014,16.47262,1539305.719,0
1/1/2025 10:35,93400.01,93418.76,93368,93382.01,19.17402,40:00.0,1790780.124,4014,6.8213,637056.9007,0
1/1/2025 10:40,93382.01,93416.64,93284,93397.96,20.51314,45:00.0,1914999.312,5401,8.85944,827033.6683,0
1/1/2025 10:45,93397.96,93416.64,93350,93365.66,17.05536,50:00.0,1592873.646,3193,6.73658,629128.3516,0
1/1/2025 10:50,93365.67,93365.67,93308.11,93325.41,18.9807,55:00.0,1771475.593,2695,11.10673,1036551.485,0
1/1/2025 10:55,93325.41,93353.18,93292.5,93326.23,25.28181,00:00.0,2359130.006,3235,11.50698,1073739.028,0
1/1/2025 11:00,93326.24,93355.66,93200,93215.04,17.78654,05:00.0,1659137.31,5976,6.86985,640816.1627,0
