Datetime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
3/4/2024 2:00,3478.21,3485.8,3461.2,3484.99,8064.1969,30:00.0,28023736.79,28631,3653.7684,12697107.31,0
3/4/2024 2:30,3485,3499,3484.21,3487.69,8485.9007,00:00.0,29626733.8,28800,4164.4006,14539626.27,0
3/4/2024 3:00,3487.68,3487.84,3473.35,3481.15,4680.7487,30:00.0,16281821.33,23160,2169.6879,7547373.29,0
3/4/2024 3:30,3481.16,3482,3465.52,3471.85,5250.9398,00:00.0,18233059.77,24516,2429.3382,8435306.66,0
3/4/2024 4:00,3471.84,3478.93,3468.6,3478.92,4408.823,30:00.0,15311618.62,20102,2337.058,8116418.465,0
3/4/2024 4:30,3478.92,3487.34,3478.56,3484.2,5506.4324,00:00.0,19180386.46,21206,2922.3907,10178535.36,0
3/4/2024 5:00,3484.21,3485.72,3465,3468.27,14600.6211,30:00.0,50713948.39,33187,5196.1052,18047270.26,0
3/4/2024 5:30,3468.28,3470,3456.36,3465.45,11894.2767,00:00.0,41181275.16,34830,5538.1262,19173897.21,0
3/4/2024 6:00,3465.46,3469.2,3463,3469.1,5473.9033,30:00.0,18974347.29,21518,2396.1455,8306214.321,0
3/4/2024 6:30,3469.1,3473.79,3465.72,3473.14,5076.3124,00:00.0,17614086.36,20535,2316.6334,8038408.799,0
3/4/2024 7:00,3473.14,3473.15,3462,3468.39,5588.0637,30:00.0,19376261.52,21738,2464.007,8543553.284,0
3/4/2024 7:30,3468.4,3487.09,3466.34,3478.61,12383.0097,00:00.0,43077977.79,44977,5133.3121,17856355.31,0
3/4/2024 8:00,3478.61,3519,3478.6,3514.6,28143.0439,30:00.0,98563999.37,64232,14373.7599,50333659.38,0
3/4/2024 8:30,3514.61,3544.14,3512.11,3534,30815.1231,00:00.0,108720205.5,74217,15154.2231,53464125.27,0
3/4/2024 9:00,3534.01,3535,3499.8,3523.67,18291.164,30:00.0,64320637.76,53020,7322.4877,25751314.56,0
3/4/2024 9:30,3523.68,3534.5,3520.5,3523,13028.7131,00:00.0,45960803.16,40809,6171.7681,21771608.33,0
3/4/2024 10:00,3523.01,3523.52,3502.75,3505.66,12468.5739,30:00.0,43759893.48,34301,5043.6165,17700187.34,0
3/4/2024 10:30,3505.66,3510.2,3481.67,3497.3,13799.4152,00:00.0,48213390.84,40490,5255.7103,18362835.03,0
3/4/2024 11:00,3497.29,3511.93,3491.78,3493.86,8762.902,30:00.0,30679022.43,31113,3820.8486,13380836.15,0
3/4/2024 11:30,3493.86,3506.92,3491.17,3506.91,5252.3041,00:00.0,18392009.99,20804,2398.161,8398980.569,0
3/4/2024 12:00,3506.92,3507.2,3497.19,3507.18,6177.4193,30:00.0,21633299.44,22627,2846.4378,9968721.287,0
3/4/2024 12:30,3507.17,3508.51,3497.52,3506.1,5004.1522,00:00.0,17537800.23,19683,2291.3714,8029996.628,0
3/4/2024 13:00,3506.09,3519,3500.72,3502.67,8447.8415,30:00.0,29645253.59,28192,3920.311,13758386.21,0
3/4/2024 13:30,3502.68,3515.34,3484.7,3490.12,11904.7193,00:00.0,41695307.56,37250,5195.462,18207634.11,0
3/4/2024 14:00,3490.11,3500,3459.03,3495.75,22194.8972,30:00.0,77278396.99,64339,10330.7826,35977941.96,0
3/4/2024 14:30,3495.74,3546,3493.15,3534.16,34342.5507,00:00.0,121116464,82717,18823.3648,66389979.89,0
3/4/2024 15:00,3534.17,3568,3521.78,3557.26,23415.659,30:00.0,83145384.63,61290,12593.8514,44718121.08,0
3/4/2024 15:30,3557.25,3568.18,3540.04,3560.42,20633.2121,00:00.0,73377106.12,45244,11664.4786,41482758.42,0
3/4/2024 16:00,3560.42,3575,3541.07,3547.41,24930.5788,30:00.0,88783335.76,60271,12642.4412,45027198.25,0
3/4/2024 16:30,3547.42,3561.2,3534.65,3549.8,21592.6203,00:00.0,76642301.76,50931,11808.4422,41916086.1,0
3/4/2024 17:00,3549.8,3584.07,3528.42,3578.01,29144.7607,30:00.0,103565444.3,64963,16451.1291,58465776.21,0
3/4/2024 17:30,3578,3585.34,3540.54,3543.64,29148.081,00:00.0,103856711.3,68121,14062.0818,50124807.45,0
3/4/2024 18:00,3543.64,3567.32,3529.8,3532.99,22889.8976,30:00.0,81211073.14,54813,10120.3456,35913689.24,0
3/4/2024 18:30,3533,3597,3532.99,3596.41,23059.0059,00:00.0,82372692.04,50555,13430.455,48009900.31,0
3/4/2024 19:00,3596.41,3610,3581.52,3604.99,23064.3436,30:00.0,82895254.38,53328,13151.1727,47277320.66,0
3/4/2024 19:30,3605,3607.24,3586.86,3593.01,10859.6442,00:00.0,39034958.5,29803,5545.8657,19933444.16,0
3/4/2024 20:00,3593,3595.99,3577.5,3579.74,9988.1093,30:00.0,35814628.29,28574,4935.1667,17696950.15,0
3/4/2024 20:30,3579.74,3595,3573.4,3583.37,13124.2232,00:00.0,47050255.01,35061,5686.0284,20383154.67,0
3/4/2024 21:00,3583.38,3593.23,3558.99,3564.41,14093.0073,30:00.0,50346027.94,36089,6754.6998,24131370.27,0
3/4/2024 21:30,3564.41,3581.51,3558.3,3580.4,6001.1231,00:00.0,21414748.56,21984,3137.9582,11198145.97,0
3/4/2024 22:00,3580.41,3593.23,3564.31,3574.87,11100.2189,30:00.0,39731819.63,34269,5292.46,18941790.92,0
3/4/2024 22:30,3574.87,3609.79,3565,3608.48,10338.1944,00:00.0,37106355.74,27069,5523.9188,19836225.71,0
3/4/2024 23:00,3608.49,3640.94,3606.53,3623.23,19084.0009,30:00.0,69211098.8,52681,10383.1728,37653326.57,0
3/4/2024 23:30,3623.23,3637.85,3607.21,3627.76,15088.567,00:00.0,54701859.44,36099,7887.8952,28596210.64,0
3/5/2024 0:00,3627.75,3634.2,3612.4,3617.71,14539.1101,30:00.0,52703921.12,37719,6828.5401,24753637.71,0
